id,Coordenadas,Latitude,Longitude,
3576,"18.374192, -67.195960",18.3741920000,-67.195960000,
3513,"18.356174, -67.194777",18.3561740000,-67.194777000,
4702,"18.3678928, -67.1942822",18.3678928000,-67.194282200,
10308,"18.084764, -67.194100",18.0847640000,-67.194100000,
11261,"17.9809,-67.1938",17.9809000000,-67.193800000,
7442,"17.9737801, -67.1936753",17.9737801000,-67.193675300,
7917,"18.36692334, -67.19334087",18.3669233400,-67.193340870,
2750,"18.083587, -67.193179",18.0835870000,-67.193179000,
2614,"18.366687,-67.192888",18.3666870000,-67.192888000,
8980,"18.082957, -67.192642",18.0829570000,-67.192642000,
614,"18.3521128, -67.1919550",18.3521128000,-67.191955000,
1280,"18.0838330, -67.1919020",18.0838330000,-67.191902000,
8947,"18.338766, -67.191682",18.3387660000,-67.191682000,
1511,"18.299789, -67.191432",18.2997890000,-67.191432000,
12420,"18.385497, -67.190963",18.3854970000,-67.190963000,
1847,"18.326423, -67190780",18.3264230000,-67.190780000,
5780,"18.092810, -67.190770",18.0928100000,-67.190770000,
5224,"18.036579,-67.190268",18.0365790000,-67.190268000,
477,"18.38622 , -67.19015",18.3862200000,-67.190150000,
1790,"18.05549, -67.18995",18.0554900000,-67.189950000,
6570,"17.980756, -67.189900",17.9807560000,-67.189900000,
13262,"18.079945, -67.189343",18.0799450000,-67.189343000,
2377,"18.0779860, -67.1893053",18.0779860000,-67.189305300,
829,"18.29177051, -67.18746539",18.2917705100,-67.187465390,
11879,"18.0841003, -67.1870492",18.0841003000,-67.187049200,
19032,"18.08593609,-67.1864694",18.0859360900,-67.186469400,
1085,"18.37130, -67.18630",18.3713000000,-67.186300000,
17299,"17.97186830, -67.18543988",17.9718683000,-67.185439880,
4047,"18.041581,-67.185025",18.0415810000,-67.185025000,
10675,"18.372222, -67.185000",18.3722220000,-67.185000000,
1232,"18.06165447, -67.1839429",18.0616544700,-67.183942900,
17296,"18.371434, -67.183456",18.3714340000,-67.183456000,
14741,"18.360533, -67.182317",18.3605330000,-67.182317000,
16468,"18.076339, -67.182121",18.0763390000,-67.182121000,
18268,"18.059216,-67.182107",18.0592160000,-67.182107000,
2207,"18.2643037, -67.1819148",18.2643037000,-67.181914800,
17853,"18.385390,-67.181871",18.3853900000,-67.181871000,
16673,"18.111025,-67.181244",18.1110250000,-67.181244000,
2573,"18.352722, -67.180754",18.3527220000,-67.180754000,
11554,"18.1084509,-67.1807031",18.1084509000,-67.180703100,
8504,"18.3853439, -67.1803746",18.3853439000,-67.180374600,
15250,"18.083901,-67.180001",18.0839010000,-67.180001000,
2603,"18.328393, -67.179941",18.3283930000,-67.179941000,
17698,"18.08628533,-67.17974366",18.0862853300,-67.179743660,
1853,"18.0942737, -67.1796333",18.0942737000,-67.179633300,
1459,"18.3584685, -67.1794442",18.3584685000,-67.179444200,
11576,"18.1662118 , -67.1794184",18.1662118000,-67.179418400,
1546,"18.16006, -67.17933",18.1600600000,-67.179330000,
17823,"18.086444,-67.178917",18.0864440000,-67.178917000,
1055,"18.07859421, -67.17890424",18.0785942100,-67.178904240,
16537,"18.080227, -67.178879",18.0802270000,-67.178879000,
10157,"18.3875310, -67.1787660",18.3875310000,-67.178766000,
12829,"18.035180, -67.178702",18.0351800000,-67.178702000,
1810,"18.095321, -67.178689",18.0953210000,-67.178689000,
16440,"18.086815, -67.178575",18.0868150000,-67.178575000,
3419,"18.104376, -67.178396",18.1043760000,-67.178396000,
6352,"18.0938516, -67.1763950",18.0938516000,-67.176395000,
456,"18.33983, -67.17639",18.3398300000,-67.176390000,
3405,"18.140167, -67.175933",18.1401670000,-67.175933000,
596,"18.38478,-67.17583",18.3847800000,-67.175830000,
