X,Y,ID,Site_name,Site_type,Municipality,TotalBeneficiaries_Patients,Funders_Implementers,Funders_Combined,IsPrimary,Number_Funders,PVSizekW,Savings_year,CO2_eq_avoided_metric_tonnes_ye,Battery_size_kWh,PV_Size_AVG,Savings_AVG,CO2avoided_AVG,Batterysize_AVG,loads_backed_up,Installer,CompletionDate,Status,Latitude,Longitude,Accurate_building_town,Address,SiteDescription,Last_update,ObjectId
-67.078,18.165,463,Esc. Laura Mercado                                             ,School,San German,,American Red Cross,American Red Cross,1,1,49,19315.8,59,,49,19315.8,59.0033304,0,,,,In Process,18.165,-67.078,Building,,,2020/02/14 00:00:00+00,413
-66.127,18.395,426,Esc. Pedro P. Casablanca,School,Bayamon,,American Red Cross,American Red Cross,1,1,55,21681,66.23,,55,21681,66.228228,0,,,,Complete,18.395,-66.127,Building,,,2020/02/14 00:00:00+00,414
-67.057,18.049,464,Esc. Leonides Morales Rodriguez,School,Lajas,,American Red Cross,American Red Cross,1,1,55,21681,66.23,,55,21681,66.228228,0,,,,In Process,18.049,-67.057,Building,,,2020/02/14 00:00:00+00,415
-65.987,18.332,466,Esc. Juan Osuna / Nueva Elemental Bo Quebrada Negrito,School,Trujillo Alto,,American Red Cross,American Red Cross,1,1,45,17739,54.19,,45,17739,54.186732,0,,,,In Process,18.332,-65.987,Building,,,2020/02/14 00:00:00+00,416
-67.187,18.086,467,Esc. Mildred Arroyo Cardoza / Segunda Unidad Bo Puerto Real,School,Cabo Rojo,,American Red Cross,American Red Cross,1,1,45,17739,54.19,,45,17739,54.186732,0,,,,In Process,18.086,-67.187,Building,,,2020/02/14 00:00:00+00,417
-66.886,18.153,468,Esc. Lena M. Franceshi (Rubias Km. 25),School,Yauco,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,In Process,18.153,-66.886,Building,,,2020/02/14 00:00:00+00,418
-66.778,18.054,469,Esc. Gloria Borrero,School,Guayanilla,,American Red Cross,American Red Cross,1,1,50,19710,60.21,,50,19710,60.20748,0,,,,In Process,18.054,-66.778,Building,,,2020/02/14 00:00:00+00,419
-65.957,18.1879,470,Esc. Dra. María T. Delgado Marcano,School,San Lorenzo,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,In Process,18.1879,-65.957,Building,,,2020/02/14 00:00:00+00,420
-66.353,18.29,472,Esc. Dr. José Padín,School,Corozal,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,In Process,18.29,-66.353,Building,,,2020/02/14 00:00:00+00,421
-66.917,18.459,473,Esc. SU Luis Munoz Rivera,School,Quebradillas,,American Red Cross,American Red Cross,1,1,50,19710,60.21,,50,19710,60.20748,0,,,,In Process,18.459,-66.917,Building,,,2020/02/14 00:00:00+00,422
-67.112,18.395,474,Esc. Adolfo Babilonia / Luis A. Colon,School,Moca,,American Red Cross,American Red Cross,1,1,55,21681,66.23,,55,21681,66.228228,0,,,,In Process,18.395,-67.112,Building,,,2020/02/14 00:00:00+00,423
